date,count
20190101,691
20190102,1444
20190103,1304
20190104,1250
20190105,1097
20190106,1051
20190107,1554
20190108,1372
20190109,1300
20190110,1323
20190111,1211
20190112,1066
20190113,1050
20190114,1562
20190115,1424
20190116,1379
20190117,1384
20190118,1404
20190119,1073
20190120,1173
20190121,1560
20190122,1340
20190123,1255
20190124,1296
20190125,1238
20190126,1127
20190127,1010
20190128,1515
20190129,1378
20190130,1273
20190131,1214
20190201,1167
20190202,845
20190203,577
20190204,503
20190205,220
20190206,404
20190207,431
20190208,577
20190209,656
20190210,628
20190211,1566
20190212,1293
20190213,1205
20190214,1192
20190215,1290
20190216,1175
20190217,1211
20190218,1571
20190219,1277
20190220,1262
20190221,1362
20190222,1442
20190223,1072
20190224,1131
20190225,1647
20190226,1449
20190227,1423
20190228,1445
20190301,1354
20190302,1265
20190303,1280
20190304,1665
20190305,1343
20190306,1357
20190307,1379
20190308,1261
20190309,1187
20190310,1232
20190311,1714
20190312,1439
20190313,1497
20190314,1552
20190315,1589
20190316,1441
20190317,1385
20190318,2032
20190319,1545
20190320,1566
20190321,1562
20190322,1574
20190323,1386
20190324,1455
20190325,1847
20190326,1480
20190327,1450
20190328,1429
20190329,1067
20190330,1211
20190331,1200
20190401,1755
20190402,1358
20190403,1344
20190404,1395
20190405,1369
20190406,1313
20190407,1295
20190408,1853
20190409,1373
20190410,1395
20190411,1507
20190412,1398
20190413,1325
20190414,775
20190415,1240
20190416,1730
20190417,1478
20190418,1431
20190419,1384
20190420,1251
20190421,1120
20190422,1662
20190423,1324
20190424,1385
20190425,1456
20190426,1421
20190427,1080
20190428,831
20190429,1285
20190430,596
20190501,783
20190502,1504
20190503,1257
20190504,911
20190505,946
20190506,1598
20190507,1359
20190508,1427
20190509,1398
20190510,1356
20190511,1162
20190512,1364
20190513,1645
20190514,1348
20190515,1410
20190516,1440
20190517,1422
20190518,1235
20190519,1311
20190520,1785
20190521,1460
20190522,1411
20190523,1564
20190524,1559
20190525,1239
20190526,1208
20190527,1787
20190528,1508
20190529,1426
20190530,1480
20190531,1555
20190601,1175
20190602,1136
20190603,1791
20190604,1477
20190605,1524
20190606,1533
20190607,1384
20190608,1181
20190609,1197
20190610,1896
20190611,1487
20190612,1559
20190613,1601
20190614,1622
20190615,1193
20190616,1308
20190617,1922
20190618,1571
20190619,1686
20190620,1661
20190621,1593
20190622,1297
20190623,1318
20190624,1905
20190625,1524
20190626,1665
20190627,1617
20190628,1521
20190629,1245
20190630,1280
20190701,1823
20190702,1583
20190703,1510
20190704,1451
20190705,1675
20190706,1332
20190707,1387
20190708,1958
20190709,1755
20190710,1678
20190711,1787
20190712,1847
20190713,1355
20190714,1308
20190715,2230
20190716,1640
20190717,1621
20190718,1728
20190719,1707
20190720,1312
20190721,1271
20190722,1892
20190723,1767
20190724,1537
20190725,1584
20190726,1664
20190727,1214
20190728,1312
20190729,1914
20190730,1623
20190731,1426
20190801,1606
20190802,1426
20190803,1287
20190804,1336
20190805,1802
20190806,1505
20190807,1542
20190808,1641
20190809,1709
20190810,1305
20190811,1420
20190812,2032
20190813,1808
20190814,1565
20190815,1843
20190816,1777
20190817,1479
20190818,1730
20190819,2268
20190820,1864
20190821,1674
20190822,1858
20190823,1703
20190824,1501
20190825,1435
20190826,2105
20190827,1647
20190828,1762
20190829,1693
20190830,1583
20190831,1441
20190901,1210
20190902,901
20190903,2088
20190904,1488
20190905,1931
20190906,1711
20190907,1577
20190908,1537
20190909,2131
20190910,1796
20190911,1730
20190912,1914
20190913,1767
20190914,1725
20190915,1662
20190916,2214
20190917,1908
20190918,1753
20190919,2092
20190920,1947
20190921,1820
20190922,1751
20190923,2424
20190924,2100
20190925,1993
20190926,2119
20190927,2025
20190928,1929
20190929,1773
20190930,2401
20191001,1971
20191002,1865
20191003,2066
20191004,2016
20191005,1775
20191006,1698
20191007,2456
20191008,1986
20191009,1658
20191010,1945
20191011,1948
20191012,1777
20191013,1744
20191014,2303
20191015,1974
20191016,1910
20191017,2014
20191018,1869
20191019,1736
20191020,1725
20191021,2214
20191022,1822
20191023,1907
20191024,1835
20191025,1821
20191026,1726
20191027,1657
20191028,2170
20191029,1831
20191030,1781
20191031,1705
20191101,1792
20191102,1558
20191103,1471
20191104,2123
20191105,1753
20191106,1723
20191107,1831
20191108,1747
20191109,1665
20191110,1635
20191111,1749
20191112,1727
20191113,1647
20191114,1723
20191115,1635
20191116,1561
20191117,1538
20191118,2118
20191119,1779
20191120,2067
20191121,1803
20191122,1645
20191123,1535
20191124,1500
20191125,2078
20191126,1759
20191127,1627
20191128,1800
20191129,1809
20191130,1548